__label__pos	I own two of these mattress pads and I love them.
__label__neu	I had to make it a little bigger,  which of course makes it leak (more) and even then,  my then 9 month old tossed it onto the floor.
__label__neu	I can see though how it is very possible for fraying to occur but I think as long as you inspect it with each use and make sure it is secure you will be fine.
__label__pos	"""The loops also let you change the toys frequently to prevent boredom."""
__label__neg	 Stuck with a child unit, and figuring it was just one of those things, we decided to buy a replacement pair, and just have an extra child unit we could swap in and out as a replacement
__label__neg	"""However, I refused to take it with me traveling."""
__label__neg	 She had a tummy pillow and lots of toys to play with (and she does chew on the chewy toys), but even though it plays tunes, it just doesn't impress her very much
__label__neg	The entire purpose was to have a surface to place toys and other things on, but when the tray keeps falling off, you may as well just place your items in baby's lap.
__label__neu	The concept is good,  but execution is terrible.
__label__neu	So I hope you find my review just as helpful when deciding on your purchase.
__label__pos	Unfortunately this lead to a period when my son felt it was customary to lick things before putting them on the table, but this passed quickly.
__label__neu	The carrying case, case for traveling with milk and bottles, and case for the parts.
__label__pos	I got just as much milk with this pump as I did the hospital pump.
__label__neg	The one thing that I didn't like about the Dr. Brown's bottles I originally had was all of the different parts.
__label__neg	 My son has virtually ignored this toy since day 1
__label__neu	I was very disappointed in this product.
__label__pos	I love this sterlizer. 
__label__pos	Our baby has really liked this bath.
__label__pos	One very cool feature is that all that extra stuff turns off by itself in about 10 minutes.
__label__neu	"""My son is 10 months old and we just recieved this item as a gift from a friend."""
__label__neg	The only thing I don't like about this kit is that there really isn't a handle to hold it with and it is kind of bulky but other than that its great.
__label__neu	"""This is with three different people putting them on."""
__label__pos	I am so glad I registered for the Baby Bjorn carrier.
__label__neu	The only thing is, the small one I Had was in fleece, and my baby is a warm baby so he would get hot.
__label__pos	These bottles are a true must have!
__label__neu	(For those that missed the news reports - BPA is a chemical found in some plastics that a recent National Institutes of Health report indicated may be harmful,  especially to infants.)
__label__neu	Being in the baby business they should know that not all crib's are made the same
__label__neg	I took it to my lactation consultant and she said that she hates that brand/model and that she had 5 other mothers have the same complaints about it.
__label__pos	"""It saved me alot of space."""
__label__neg	I thankfully tested this product with my 9 month old BEFORE putting food in it and he was able to lift up the bowl within a minute.
__label__pos	My son can pick it up and move it around with one hand, so it isn't too heavy, which is definitely a bonus.
__label__neu	 I like the one by Munchkin
__label__neg	I'm surprised this potty got such rave reviews
__label__neu	He first giggled when grandpa talked to him and I've made him laugh a couple of times.  
__label__pos	Can say enough good things about this.
__label__neg	I foolishly bought this, knowing that others thought it was too low...but it really is SO LOW you can't hear it 4 feet away. 
__label__pos	She also likes to wear it around the house when it is cold,  cuddled up on the couch
__label__neu	It's very soft-- although as another reviewer stated we have taken to putting a receiving blanket on the top so it's easier to wash!
__label__pos	"""Great for one feeding!"""
__label__neu	1) Lightweight diapers don't actually fall through hole
__label__pos	"""My daughter likes her froggy..."""
__label__neg	In order to snap the tray down, I have to bend it a bit.
__label__neu	With two dogs in the house, we worried that the diaper can would become a hunting ground, but they haven't shown the least bit of interest.  
__label__neg	 Please listen to all the negative results on this one & don't buy it.
__label__neg	Too big to fit in average size diaper bag
__label__neu	My daughter is 6 weeks old so I cannot comment about the use of the tub for an older baby.
__label__pos	We live in the north east so it is a life saver.
__label__neu	We used the hammock at first (BE SURE NOT TO GET IT WET BEFORE PUTTING YOUR BABY IN IT BECAUSE IT GETS SUPER COLD)It was great because it supported her but her little bottom and back was in the warm water.
__label__pos	I liked it so much I just purchased one for my friend's baby
__label__neg	 I went and bought about 10 from Babies R Us, and after 2 weeks, 8 of the slow-flow nipples didn't work. 
__label__neg	 I think it's meant for playpen playtime not bath time
__label__pos	and lots for a baby to do.  
__label__neg	 My little girl hated it
__label__neu	Maybe I'm just used to the electric variety. 
__label__neu	I guess you can't have it all
__label__neg	Its major drawback are.
__label__neu	Works but...
__label__pos	It is so clear I can hear my husband talking from a few rooms away.
__label__neu	 My daughter who was 8 pounds 11 ounces at birth would slide down the Inclined to Sleep positioner
__label__neg	I purchased two,  and both have a radius of about 3 feet.
__label__neu	It helps to rearrange everything often.
__label__neu	Basically, anywhere a sippy cup will be tossed.  
__label__neg	There are two sound settings on the little learning table - one is way too loud (could easily damage your babies ears) and the other setting is way too low (can't hear it at all).
__label__neg	Neither my husband or I could get the tops off... 
__label__pos	I love that there are slow flow, medium, fast and then sippy tops.
__label__neg	Would not buy again.
__label__neg	Unfortunately, it doesn't hold any water to submerge anything than perhaps the feet.
__label__neu	My daughter can very easily get her hand into the cup and get cherrios out. 
__label__neg	For an infant the inward facing position of the Bjorn is also more protective from strangers and germs.
__label__neg	(especially given that the baby can slide down the incline and get there nose/mouth covered by the soft side cushions.
__label__neg	Seriously.
__label__neg	Con: I wished the front panel was expandable.
__label__pos	 But to each his own, I guess, a lot of people love it. 
__label__neg	 I am always bumping it on things and it falls off... 
__label__pos	There were problems with all the other bottles....such as leaking, having to buy liners all the time, unmarked nipples, suction, etc.
__label__pos	I can already tell that it will serve it's purpose perfectly!
__label__neu	It doesnt work.
__label__neu	I never wanted a tub because I was not impressed with anything I found but my sister got me this as a shower gift.
__label__neu	We plan to buy the larger bottles when he gets older and I might change my opinion then based on what I'm seeing in the reviews about the nipples that allow more flow.
__label__neu	We placed the little dear down into the seat and he immediately began pounding and pulling all the objects within range.
__label__neu	 You'll see that I am right
__label__neu	) busy. 
__label__neu	I have a Sony DVD player that is 1.
__label__neu	He rolls all over the crib during the night and the sleep sack moves with him.
__label__pos	She tried very hard at first and now actually kind of likes it.
__label__neu	I was looking for an easier baby sling (currently use the Moby) and thought this would be a good option.
__label__neg	 Also it would leak in the diaper bag as well. 
__label__neu	My husband and I bought this for our little girl's nursery.
__label__neu	As he got older, he'd start to teeth on the dangling things, then he eventually would sit under it, still playing, and he's 12 months now, so it's disassembled (it takes up a lot of space), but he still plays with all the toys and links it came with.
__label__neg	 if you want to use it as a booster when needed it's very clumsy, spring loaded, breakable (cheap plastic breaks) and it's too much of a pain to put under the chair and take away. 
__label__neu	We purchased this and the wind/rain screen.
__label__neg	Though he's only 11 lbs, my shoulders ache after having him in it for only minutes--I guess the straps are not padded enough.
__label__pos	The wide neck, 8 ounce bottles are perfect. 
__label__neg	The doors keep falling off, it fills up fast. 
__label__neu	Because it only happens to one in about four or five reviewers,  I think there must be a problem with production.
__label__pos	This swing has been fabulous.
__label__pos	They do keep him from turning on the stove so they do what their suppose to
__label__neg	 They come with slip covers now, but if you ever need to wash the pillow itself, it screws up the distribution of the stuffing. 
__label__neu	Occasionally he'll hold them in his hands and shake them-esp the one with little colored pebbles inside the plastic
__label__neu	5 stars! 
__label__neg	 I leaked through and around the pad
__label__pos	the hamock is wonderful and i use it more than just the tub.  
__label__pos	It's very durable and easy to clean.
__label__neu	Once,  when pushing down while grinding,  the whole thing slipped and tipped over.
__label__neg	" If I position her in the correct position, a mess is avoided, but she can't find that ""perfect position"" by herself"
__label__neu	My son did like to look at them.
__label__neg	 It will NOT empty your breast
__label__pos	"""This is a great bath toy organizer."""
__label__neu	"""Our daughter has severe acid reflux that has been treated with medication since she was a month old."""
__label__neg	I highly recommend you avoid this item
__label__pos	A must have
__label__neu	You can't 'see' this product's actual size by just looking at a photo. 
__label__pos	The soothing music and sounds are very pleasant and my son likes to look at himself in the mirrored part.
__label__neg	The other thing that drives me nuts is that the first few diapers I put in after a refill change never go in correctly.
__label__pos	 My tot liked opening the lid and would not get hurt running into it
__label__neg	 Furthermore, it did not supply enough back support so I prefered to use a heatable neck pillow to support my back. 
__label__pos	I highly recommend it.
__label__neu	In case of an accident or a problem with the car seat,  using any additional product (such as this mat or an attached fleece covering) may void the warranty of your car seat!
__label__pos	I loved these bottles for the first month I had my daughter. 
__label__pos	Overall this was the best looking swing I could find.  
__label__neg	"""Yes, it is beautiful, but I guess I wouldn't pay so much for something which will be outgrown so fast."""
__label__pos	You are not wasting your money!
__label__neg	 BUT...the elbow pad is a joke! 
__label__neg	I am over these bottles
__label__neu	He is wearing 12-18 month clothes at 8 months old. 
__label__pos	But those are insignificant and not problems compared to how many hours she has played with it and believe it or not her activity on the playmat has tired her out so that she finally slept through the night!
__label__neg	it's like it is tangling my fingers when i press to spray, too difficult to hold, should've made it bigger.i think i will return this item because i can't really give her a bath in this tub.
__label__neu	"""Learn from me!"""
__label__neg	 Also, as another reviewer stated, the chest strap was right under his chin, which I feared would decapitate him in an accident. 
__label__pos	So if you want pretty instead of quality
__label__neg	This seems like a messy or unsanitary way to have to do every time you make and pour a bottle.
__label__neu	"I ended up leaving it at my mom's for a ""back up"
__label__pos	"""It's great for traveling."""
__label__pos	It helped my colicky baby sleep much better!
__label__neu	HOWEVER, it didn't make a difference in the amount of hours he slept.
__label__pos	GREAT FOR TODDLERS AND EVEN PRESCHOOLER
__label__neg	The stitching on the liner on the inside that seperates compartments came undone after less than a year and is flimsy.
__label__neu	Great.
__label__neu	I have read the directions and everything but the water just leaks out.
__label__pos	It's made of steel and is very heavy,  but we'll install it once and then be happy our little guy is safe.
