reviewText,sentiment,under_review,uuid
I had a Safety 1st potty that I just hated before I bought this Baby Bjorn potty.,1,0,1122422400B000056J7KA3GJ0RDALQQT5G
"It leaked, its round opening was WAY too small, and I had a ton of problems with my son leaking all over the front and on to the floor.",1,0,1122422400B000056J7KA3GJ0RDALQQT5G
Plus it came apart in many pieces and had lots of spots bacteria could hide.,2,0,1122422400B000056J7KA3GJ0RDALQQT5G
The Baby Bjorn takes care of all the problems I had with the Safety 1st potty.,0,1,1122422400B000056J7KA3GJ0RDALQQT5G
The simple construction is so sanitary and easy to clean.,0,1,1122422400B000056J7KA3GJ0RDALQQT5G
There are no little places for bacteria to collect.,2,1,1122422400B000056J7KA3GJ0RDALQQT5G
"The opening is bigger than other potty chairs and oblong instead of round, so no more pooping on the seat.",2,1,1122422400B000056J7KA3GJ0RDALQQT5G
This alone would have sold me on this potty.,2,1,1122422400B000056J7KA3GJ0RDALQQT5G
The splash guard is great for boys.,0,1,1122422400B000056J7KA3GJ0RDALQQT5G
No more peeing off the front of the potty and no flimsy detachable splash guards that flip down into the seat.,2,1,1122422400B000056J7KA3GJ0RDALQQT5G
It has a nice rubber grip on the bottom to keep it in the same place on the floor.,0,1,1122422400B000056J7KA3GJ0RDALQQT5G
Another plus is that it's nice looking and blends in with the rest of the bathroom.,0,1,1122422400B000056J7KA3GJ0RDALQQT5G
I'm very happy with the quality and design of this potty and I have NO complaints!,0,1,1122422400B000056J7KA3GJ0RDALQQT5G
I love this co-sleeper because I have a one-bedroom apartment and I prefer bedsharing to a crib.,0,1,1253318400B000HKY1GMA1YHI49AWYNI34
The co-sleeper is great for my daughter to sleep or rest in.,0,1,1253318400B000HKY1GMA1YHI49AWYNI34
She's always close by because I can wheel it around the apartment.,2,1,1253318400B000HKY1GMA1YHI49AWYNI34
"and it has tons of storage, which is also a huge help.",0,1,1253318400B000HKY1GMA1YHI49AWYNI34
It's extremely portable and fits into a small bag.,0,1,1253318400B000HKY1GMA1YHI49AWYNI34
It's easy to assemble and take apart.,0,1,1253318400B000HKY1GMA1YHI49AWYNI34
And it has excellent safety features.,0,1,1253318400B000HKY1GMA1YHI49AWYNI34
I'm going to keep this stored in the closet to use with any more new babies we have.,2,1,1253318400B000HKY1GMA1YHI49AWYNI34
I wish i would have brought this to the hospital with me when i was struggling to the point of tears with nursing.,0,1,1122595200B000231GEOA2D6B8N0CTJ28L
Now at 11 weeks old I use the Boppy to nurse everyday and night.,0,1,1122595200B000231GEOA2D6B8N0CTJ28L
I use it so much I had to buy a second one to use upstairs in the middle of the night.,0,1,1122595200B000231GEOA2D6B8N0CTJ28L
The covers and pillows are washable although I haven't washed the pillow yet i have washed the covers several times and they are holding up great.,0,1,1122595200B000231GEOA2D6B8N0CTJ28L
I use this to nurse and to play because it is great to put the boppy by my knees and then the baby can see my face and it is easy to get her to smile using the boppy for support.,0,1,1122595200B000231GEOA2D6B8N0CTJ28L
We got this water mat when my twins were very small - 3 months maybe?,2,1,1245801600B000E82WRMA2QANOGP5LLPBQ
We would prop them up in bobby pillows and put the mat in between them and they liked leaning over to feel the mat.,2,1,1245801600B000E82WRMA2QANOGP5LLPBQ
"The ""fish"" (toys) inside did not move as much as I thought - maybe we didn't have it filled up right.",1,1,1245801600B000E82WRMA2QANOGP5LLPBQ
"Then, once they were sitting up on their own, we would sit them on the mat.",2,1,1245801600B000E82WRMA2QANOGP5LLPBQ
we said they were sitting in their pool.,2,1,1245801600B000E82WRMA2QANOGP5LLPBQ
and they enjoyed that.,2,1,1245801600B000E82WRMA2QANOGP5LLPBQ
"Eventually, one of them punctured it and we didn't try to put a patch on it.",1,1,1245801600B000E82WRMA2QANOGP5LLPBQ
We use the floating toys in the bath tub now ;),0,1,1245801600B000E82WRMA2QANOGP5LLPBQ
"I bought this as 2nd stroller, to park and short errand for my 4 months baby.",2,1,1255564800B000FFS9VMA2661SA1L2OEL6
Cons:Light weightGood canopy size5 point harnessRecline (thoug not alot but is comfortable for my 4 months old)Durable madeEasily clean seat fabricDoes not tip over when my diaper bag and shopping bags hand over the handle.,2,1,1255564800B000FFS9VMA2661SA1L2OEL6
ProsSmall and uselss basket.,1,1,1255564800B000FFS9VMA2661SA1L2OEL6
impossible to put anything in it or accesswish it will recline moreLonger handle ( I am 5 2 and on off i kick the back of the wheels.,1,1,1255564800B000FFS9VMA2661SA1L2OEL6
NOT for tall parents!,1,1,1255564800B000FFS9VMA2661SA1L2OEL6
)OverviewOverall I am happy with my purchase.,0,1,1255564800B000FFS9VMA2661SA1L2OEL6
and YES i would recommend to anyone if they have shorter legs!,0,1,1255564800B000FFS9VMA2661SA1L2OEL6
We bought this primarily because it had better reviews than the Diaper Genie when we bought it and that we don't have to buy special bags.,2,0,1135814400B00003TL7PA19EF05WDNULJS
I love that you can use trash bags.,0,0,1135814400B00003TL7PA19EF05WDNULJS
I haven't had a problem with the bag not being full enough.,2,0,1135814400B00003TL7PA19EF05WDNULJS
"For one, when the Champ is full the trash bag is a bit more then half full, but is also very heavy so you wouldn't want anymore diapers in there anyway.",2,1,1135814400B00003TL7PA19EF05WDNULJS
The only problem I've found with it was when my sister-in-law put my 2 year old nieces diaper in there and the smell lingered a bit.,1,1,1135814400B00003TL7PA19EF05WDNULJS
Her diapers are MUCH different then my 3 month old son though.,1,0,1135814400B00003TL7PA19EF05WDNULJS
So overall I love the Diaper Champ!,0,1,1135814400B00003TL7PA19EF05WDNULJS
I used my backpack like for 5 months and the seams by the zipper falling apart after like 40 uses.,1,1,1184198400B00029P388A38TI9JNGGW0YW
"It never happened to me ever in my entire life though I'm complete ""backpack person"" and I never had anything else but a backpack.",2,0,1184198400B00029P388A38TI9JNGGW0YW
Next time I will rather go than for a special backpack for normal backpack with all life warranty and buy changing pad for it.,1,0,1184198400B00029P388A38TI9JNGGW0YW
My daughter is a vigorous nurser and we supplement with expressed breast milk while I am at work.,2,0,1226707200B0010SD8VEA3KS9JXWUI3L6X
She cannot draw the milk in from these nipples and if she is hungry enough to do the extra work it takes about 40 minutes to eat 4 oz.,2,0,1226707200B0010SD8VEA3KS9JXWUI3L6X
Not worth it.,1,1,1226707200B0010SD8VEA3KS9JXWUI3L6X
At 2 months old our little guy was so fussy and we had tried 3 different formulas and almost every bottle.,2,0,1215648000B00078ANK2A2FK6QTW5MU07B
Finally we tried Dr. Brown's and literally overnight our cranky little man turned into a sweet baby who slept normally and cried only when hungry or tired or poopy.,0,1,1215648000B00078ANK2A2FK6QTW5MU07B
Before he cried all the time and we never knew why.,1,0,1215648000B00078ANK2A2FK6QTW5MU07B
and I thought we just had to wait it out until he was four months and they say fussy babies mellow.,2,0,1215648000B00078ANK2A2FK6QTW5MU07B
These bottles are not that hard to clean and worth the extra little effort it does take since it obviously helps with gas.,0,1,1215648000B00078ANK2A2FK6QTW5MU07B
The liquid flows so easily and the baby does not have to suck so hard- I highly recommend even if you don't have a fussy baby because they seem to work the way a bottle should.,0,1,1215648000B00078ANK2A2FK6QTW5MU07B
This sterilizer is so easy to use even a dad like me can use it.,0,1,995846400B000056OUHAQCHVXD1R9WYI
"The tray holds all types of bottles, caps, etc.",2,1,995846400B000056OUHAQCHVXD1R9WYI
"Best of all, the bottles are clean and sterilized in four minutes, without boiling water or running a half-full dishwasher.",0,1,995846400B000056OUHAQCHVXD1R9WYI
"I know, the price seems high, but this is one luxury that is truly a necessity.",0,1,995846400B000056OUHAQCHVXD1R9WYI
I received this set as a gift.,2,1,1111017600B00005UC6DA3HSQD4KEAC60O
"I do agree with one of the reviewers you get some of the items in the hospital, however, we didn't get all of the items and when you're a new parent pressed for time, it's awfully convenient to have everything you need packed into one kit.",2,0,1111017600B00005UC6DA3HSQD4KEAC60O
"The one ""add on"" that we put into the kit ourselves was a digital ear thermometer.",2,1,1111017600B00005UC6DA3HSQD4KEAC60O
"Other than that, it had everything we needed.",0,1,1111017600B00005UC6DA3HSQD4KEAC60O
"It's great for travel, and the items are well made and attractive in appearance.",0,1,1111017600B00005UC6DA3HSQD4KEAC60O
It would make a terrific gift.,0,1,1111017600B00005UC6DA3HSQD4KEAC60O
I LOVE my Boppy!,0,1,1074902400B000067BIZA3POXMCWJD594
"Everyone asked me, what's a Boppy.",2,1,1074902400B000067BIZA3POXMCWJD594
I figured it was just for feeding.,2,1,1074902400B000067BIZA3POXMCWJD594
Boy was I wrong.,1,0,1074902400B000067BIZA3POXMCWJD594
"I breast feed my daughter, so I used it right away in the hospital.",2,0,1074902400B000067BIZA3POXMCWJD594
"I also used it while in the hospital around my belly as an arm rest, since my tummy didn't work well as one any more.",1,0,1074902400B000067BIZA3POXMCWJD594
"When I got home I found laying her in it was perfect, kept her upright so I didn't have to worry about her choking on her milk after feeding, since she has acid reflux the doctor suggested keeping her upright for at least 5 minutes after feedings.",0,0,1074902400B000067BIZA3POXMCWJD594
"I have taken many good pictures of my little one as a baby, held her perfect.",0,1,1074902400B000067BIZA3POXMCWJD594
"Now that she is learning to sit up, its a perfect helper.",0,1,1074902400B000067BIZA3POXMCWJD594
I would definetly recomend this to any new parent!,0,1,1074902400B000067BIZA3POXMCWJD594
My baby doesn't like pacifiers at all so I was skeptical about this.,1,1,1195516800B000JWSO9IA3VD1P53RES7Z
"I was wrong, she loves it.",0,1,1195516800B000JWSO9IA3VD1P53RES7Z
It really helps her with teething because she loves to chew on it.,0,1,1195516800B000JWSO9IA3VD1P53RES7Z
Highly recommend it.,0,1,1195516800B000JWSO9IA3VD1P53RES7Z
Haven't had any accidents to report on the function.,2,1,1256688000B001FCK32CA1F0809QT61J2D
The fit is great and texture is great too.,0,1,1256688000B001FCK32CA1F0809QT61J2D
For the most part I am very pleased with this product.,0,1,1137369600B00005BTNAA1XZJ29KK7O78S
It cut down on the gas problems my daughter had and really I had no trouble cleaning them.,0,1,1137369600B00005BTNAA1XZJ29KK7O78S
There was one bottle that for whatever reason leaked when I shook the bottle to mix it.,1,1,1137369600B00005BTNAA1XZJ29KK7O78S
"Seeing that it was only one bottle out of the 6 that we have, I am not too bothered by it.",1,1,1137369600B00005BTNAA1XZJ29KK7O78S
Ultimately it's a fine product and I would recommend it.,0,1,1137369600B00005BTNAA1XZJ29KK7O78S
"These sheets are so soft, made of jersey fabric.",0,1,1194480000B00030AZT8A1C4J5MRES1KRK
"They are a little big for my cosco play yard, but they're overall good, especially for the price!",0,1,1194480000B00030AZT8A1C4J5MRES1KRK
No special bags to buy.,2,1,1122508800B00003TL7PA2HHX876PGDZL
change at least twice per week (especially in the summer) and you are good to go.,2,0,1122508800B00003TL7PA2HHX876PGDZL
"Remember this thing contains poop, so if it is not changed often, it will smell.",2,1,1122508800B00003TL7PA2HHX876PGDZL
We have made liberal use of suction cup toys like this for our children.,2,0,1260835200B001H9NXLGA1N7FWCVYOSCZ6
We understand that you need to make sure that the surface is clean and smooth and that the suction cup is fully rinsed before trying to stick it down each time.,2,0,1260835200B001H9NXLGA1N7FWCVYOSCZ6
