,polarity,summary,reviewText,year,uuid,asin,reviewerID
261,positive,"Great potty, especially for boys!","I had a Safety 1st potty that I just hated before I bought this Baby Bjorn potty.  It leaked, its round opening was WAY too small, and I had a ton of problems with my son leaking all over the front and on to the floor.  Plus it came apart in many pieces and had lots of spots bacteria could hide.  The Baby Bjorn takes care of all the problems I had with the Safety 1st potty!The simple construction is so sanitary and easy to clean.  There are no little places for bacteria to collect.The opening is bigger than other potty chairs and oblong instead of round, so no more pooping on the seat.  This alone would have sold me on this potty.The splash guard is great for boys.  No more peeing off the front of the potty and no flimsy detachable splash guards that flip down into the seat.It has a nice rubber grip on the bottom to keep it in the same place on the floor.Another plus is that it's nice looking and blends in with the rest of the bathroom.I'm very happy with the quality and design of this potty and I have NO complaints!",2005,1122422400B000056J7KA3GJ0RDALQQT5G,B000056J7K,A3GJ0RDALQQT5G
262,positive,safe and nice looking,"I love this co-sleeper because I have a one-bedroom apartment and I prefer bedsharing to a crib.  The co-sleeper is great for my daughter to sleep or rest in.  She's always close by because I can wheel it around the apartment.  and it has tons of storage, which is also a huge help.  It's extremely portable and fits into a small bag.  It's easy to assemble and take apart.  And it has excellent safety features.  I'm going to keep this stored in the closet to use with any more new babies we have.",2009,1253318400B000HKY1GMA1YHI49AWYNI34,B000HKY1GM,A1YHI49AWYNI34
263,positive,You have to have this,I wish i would have brought this to the hospital with me when i was struggling to the point of tears with nursing. Now at 11 weeks old I use the Boppy to nurse everyday and night. I use it so much I had to buy a second one to use upstairs in the middle of the night. The covers and pillows are washable although I haven't washed the pillow yet i have washed the covers several times and they are holding up great. I use this to nurse and to play because it is great to put the boppy by my knees and then the baby can see my face and it is easy to get her to smile using the boppy for support.,2005,1122595200B000231GEOA2D6B8N0CTJ28L,B000231GEO,A2D6B8N0CTJ28L
264,positive,It was fun while it lasted,"We got this water mat when my twins were very small - 3 months maybe?  We would prop them up in bobby pillows and put the mat in between them and they liked leaning over to feel the mat.  The ""fish"" (toys) inside did not move as much as I thought - maybe we didn't have it filled up right?Then, once they were sitting up on their own, we would sit them on the mat...we said they were sitting in their pool..and they enjoyed that.  Eventually, one of them punctured it and we didn't try to put a patch on it.We use the floating toys in the bath tub now ;)",2009,1245801600B000E82WRMA2QANOGP5LLPBQ,B000E82WRM,A2QANOGP5LLPBQ
265,positive,Good Price but..............,"I bought this as 2nd stroller, to park and short errand for my 4 months baby.Cons:Light weightGood canopy size5 point harnessRecline (thoug not alot but is comfortable for my 4 months old)Durable madeEasily clean seat fabricDoes not tip over when my diaper bag and shopping bags hand over the handle!ProsSmall and uselss basket.. impossible to put anything in it or accesswish it will recline moreLonger handle ( I am 5 2 and on off i kick the back of the wheels. NOT for tall parents! )OverviewOverall I am happy with my purchase.. and YES i would recommend to anyone if they have shorter legs!",2009,1255564800B000FFS9VMA2661SA1L2OEL6,B000FFS9VM,A2661SA1L2OEL6
266,positive,Excellent!,"We bought this primarily because it had better reviews than the Diaper Genie when we bought it and that we don't have to buy special bags. I love that you can use trash bags. I haven't had a problem with the bag not being full enough. For one, when the Champ is full the trash bag is a bit more then half full, but is also very heavy so you wouldn't want anymore diapers in there anyway. The only problem I've found with it was when my sister-in-law put my 2 year old nieces diaper in there and the smell lingered a bit. Her diapers are MUCH different then my 3 month old son though. So overall I love the Diaper Champ!",2005,1135814400B00003TL7PA19EF05WDNULJS,B00003TL7P,A19EF05WDNULJS
267,negative,Love the features but this bag is not good at all,"I used my backpack like for 5 months and the seams by the zipper falling apart after like 40 uses. It never happened to me ever in my entire life though I'm complete ""backpack person"" and I never had anything else but a backpack.. Next time I will rather go than for a special backpack for normal backpack with all life warranty and buy changing pad for it.",2007,1184198400B00029P388A38TI9JNGGW0YW,B00029P388,A38TI9JNGGW0YW
268,negative,Way too slow for even a (full term) breastfed baby,My daughter is a vigorous nurser and we supplement with expressed breast milk while I am at work.  She cannot draw the milk in from these nipples and if she is hungry enough to do the extra work it takes about 40 minutes to eat 4 oz. Not worth it.,2008,1226707200B0010SD8VEA3KS9JXWUI3L6X,B0010SD8VE,A3KS9JXWUI3L6X
269,positive,Sanity saver for us,At 2 months old our little guy was so fussy and we had tried 3 different formulas and almost every bottle. Finally we tried Dr. Brown's and literally overnight our cranky little man turned into a sweet baby who slept normally and cried only when hungry or tired or poopy. Before he cried all the time and we never knew why...and I thought we just had to wait it out until he was four months and they say fussy babies mellow.These bottles are not that hard to clean and worth the extra little effort it does take since it obviously helps with gas. The liquid flows so easily and the baby does not have to suck so hard- I highly recommend even if you don't have a fussy baby because they seem to work the way a bottle should.,2008,1215648000B00078ANK2A2FK6QTW5MU07B,B00078ANK2,A2FK6QTW5MU07B
270,positive,Best thing since sliced bread,"This sterilizer is so easy to use even a dad like me can use it.  The tray holds all types of bottles, caps, etc.  Best of all, the bottles are clean and sterilized in four minutes, without boiling water or running a half-full dishwasher.I know, the price seems high, but this is one luxury that is truly a necessity.",2001,995846400B000056OUHAQCHVXD1R9WYI,B000056OUH,AQCHVXD1R9WYI
271,positive,Terrific set,"I received this set as a gift.  I do agree with one of the reviewers you get some of the items in the hospital, however, we didn't get all of the items and when you're a new parent pressed for time, it's awfully convenient to have everything you need packed into one kit.The one ""add on"" that we put into the kit ourselves was a digital ear thermometer.  Other than that, it had everything we needed.It's great for travel, and the items are well made and attractive in appearance.  It would make a terrific gift.",2005,1111017600B00005UC6DA3HSQD4KEAC60O,B00005UC6D,A3HSQD4KEAC60O
272,positive,PERFECT FOR ANY NEW MOM!,"I LOVE my Boppy!  Everyone asked me, what's a Boppy. I figured it was just for feeding. Boy was I wrong. I breast feed my daughter, so I used it right away in the hospital. I also used it while in the hospital around my belly as an arm rest, since my tummy didn't work well as one any more. When I got home I found laying her in it was perfect, kept her upright so I didn't have to worry about her choking on her milk after feeding, since she has acid reflux the doctor suggested keeping her upright for at least 5 minutes after feedings... I have taken many good pictures of my little one as a baby, held her perfect. Now that she is learning to sit up, its a perfect helper.. I would definetly recomend this to any new parent!",2004,1074902400B000067BIZA3POXMCWJD594,B000067BIZ,A3POXMCWJD594
273,positive,So much better than a pacifier,"My baby doesn't like pacifiers at all so I was skeptical about this. I was wrong, she loves it. It really helps her with teething because she loves to chew on it. Highly recommend it.",2007,1195516800B000JWSO9IA3VD1P53RES7Z,B000JWSO9I,A3VD1P53RES7Z
274,positive,fits well,Haven't had any accidents to report on the function.  The fit is great and texture is great too.,2009,1256688000B001FCK32CA1F0809QT61J2D,B001FCK32C,A1F0809QT61J2D
275,positive,Generally a really good product,"For the most part I am very pleased with this product. It cut down on the gas problems my daughter had and really I had no trouble cleaning them. There was one bottle that for whatever reason leaked when I shook the bottle to mix it. Seeing that it was only one bottle out of the 6 that we have, I am not too bothered by it. Ultimately it's a fine product and I would recommend it.",2006,1137369600B00005BTNAA1XZJ29KK7O78S,B00005BTNA,A1XZJ29KK7O78S
276,positive,Soft sheets!,"These sheets are so soft, made of jersey fabric.  They are a little big for my cosco play yard, but they're overall good, especially for the price!",2007,1194480000B00030AZT8A1C4J5MRES1KRK,B00030AZT8,A1C4J5MRES1KRK
277,positive,A good buy,"No special bags to buy... change at least twice per week (especially in the summer) and you are good to go. Remember this thing contains poop, so if it is not changed often, it will smell.",2005,1122508800B00003TL7PA2HHX876PGDZL,B00003TL7P,A2HHX876PGDZL
278,negative,"Good, but battery makes it hard to wash","We have made liberal use of suction cup toys like this for our children. We understand that you need to make sure that the surface is clean and smooth and that the suction cup is fully rinsed before trying to stick it down each time. Even with those precautions, sometimes they stay down; sometimes they don't.I bought this toy because we had something similar that I bought 8 years ago for my first child. I really didn't want something with a light in it, but didn't have a choice. My 6 month old will put this in his mouth while he sits at the table with us and it generally gets covered with food or drool. He couldn't care less about the light, which is motion activated.There is a little hole in the light-up ball that allows water (and who knows what else?) inside. Washing it means having to keep your finger over the hole and hope that you can rinse it fast enough. If food gets inside that hole, you are out of luck.I can't figure out why anyone would make a suction cup toy (presumably for use at a high chair, around food) that cannot be easily washed.",2009,1260835200B001H9NXLGA1N7FWCVYOSCZ6,B001H9NXLG,A1N7FWCVYOSCZ6
279,positive,4days old,my 4 day old son loved this swing he slept in it for hours it was the best $165.00 i ever spent for my lil one and for my sanity.,2009,1251331200B000I5Q19QA3JZAPUZEV61TN,B000I5Q19Q,A3JZAPUZEV61TN
280,positive,Perfect size for travel snacks!,I love the size of these bowls!  They are great to put snacks in and toss in the diaper bag.  They are quality plastic and last a long time.  I am buying more because over time you loose a few here and a few there.  Great to have on hand if you have toddlers.,2008,1201564800B000JVXUF2ARS7MNRW8YNNH,B000JVXUF2,ARS7MNRW8YNNH
281,negative,Does nothing for odors,I bought this diaper because of the good reviews however I found that it does nothing to keep out odors.  I am going to purchase the odor disks I just saw on amazon.  Hopefully this will help.  My son's room is very small and once I open the diaper pail his whole room begins to smell and its not like the pail is filled with dirty diapers when this occurs.  I would only have 2-3 diapers in there when it begins to smell.  I wish I had gone with a more expensive diaper pail because I can't take the odor.  I hope this helps.,2009,1262044800B00083HK0MA6A0OINXRSV6F,B00083HK0M,A6A0OINXRSV6F
282,positive,Best bath tub!,Our son loves this bath tub! He is so relaxed in it! Best out there on the market!,2005,1130198400B000056OV0A12D7ROCUOZVP8,B000056OV0,A12D7ROCUOZVP8
283,positive,Great for a girl!,"I have a little girl and she started using this potty chair at a year old (early, but just to get the concept!)... she has loved it since day one!  She was entertained by the music which was a great incentive for her to stay a little longer on the potty, and when she was ready it transfers and snaps onto the &quot;big girl potty&quot; and still plays music!  She is now two and uses just the big potty but every now and then she still asks for this!  We didn't get much use out of the potty book that comes with it, but it's a cute idea.  All in all this was a good choice for us!",2004,1073865600B000067QMJAP2DUPMGNQP9T,B000067QMJ,AP2DUPMGNQP9T
284,positive,love it,"I bought this for my three month old son and we are really pleased with it. It's fun for him to learn to sit up and it offers a new vantage point for him. The toy is also very entertaining.I did not have a problem with the smell like others- there was a slight smell when I opened the item, but after washing it and airing out over night, I really didn't notice an odor.I would really recommend this to other parents.",2009,1249257600B00162ZLVEA20WZCDGVPLE7X,B00162ZLVE,A20WZCDGVPLE7X
285,positive,Best bath tub for infants and toddlers,"Our baby's umbilical cord stump fell of when she was just a few days old, so we bathed her in this tub.  She was too tiny for her arms to fit in the arm places, but it worked perfectly because she fit snugly and securely in the place that the body is supposed to go.  Baby won't slip under the water because of the plastic mouldings, so you can have both hands free to wash and reach. Once our baby was big enough to sit up, we put her on the other end (toddler end), and she plays and splashes, while still having the plastic molding so she can't slip back into the water.  She's 18 months old now and we fill the tub to the brim in the big bathtub.  This is a large baby tub, but it stores easily in the bathtub, cleans up very easily, and you will be able to use it for 2 years at least!  Well worth the extra $$.",2004,1086220800B000056OV0A2FH9IFBOQTFNP,B000056OV0,A2FH9IFBOQTFNP
286,positive,Awesome!,"My baby was breast fed for the first 2 months. We used a nipple shield by Medela but as she got older the nipple shield was just not cutting it when it came to my baby being full. I decided to pump but when my baby was fussy I couldn't pump every 3-4 hours like I needed to so my supply dropped. I didn't buy this starter set, I bought a few 4 ounce bottles and gave my baby what milk I had pumped and formula. I have now bought the 8 ounce bottles and use them also. These bottles are great. My baby burps right away and is never gassy. With breast feeding she hardly ever burped. We use the drop in liners and have had NO problems with leaks. I also heat her formula up by putting hot water in a cup, putting the formula in a liner and dropping the liner into the warm water. Then I mixed it up with a spoon to make sure there are no cold spots, test it and put the liner into the bottle and feed my baby. You also don't have to worry about water dripping off the liner and getting on baby because of the plastic they are made of, the water does not stick to the liner. When I pull the liner out you can't even tell it has been sitting in water.(...)",2005,1108080000B00008614FA1CGOXRZ1A9PCY,B00008614F,A1CGOXRZ1A9PCY
