group_id,sentence,sentiment,uuid
1,I am primarily breastfeeding but I thought this would be useful for sterilizing pump parts and the occasional bottles.,neg,1114646400B000056OUGA3FFDK09UJS1TD
1,I discovered Medela Microwave Steam Cleaning Bags instead and this thing went in the closet.,neu,1114646400B000056OUGA3FFDK09UJS1TD
1,I feel badly for the waste of money but the bags are SO much easier.,neu,1114646400B000056OUGA3FFDK09UJS1TD
1,And not space consuming.,pos,1114646400B000056OUGA3FFDK09UJS1TD
1,Plus you can use them during travel at the office.,pos,1114646400B000056OUGA3FFDK09UJS1TD
1,Much more cost efficient and useful!,pos,1114646400B000056OUGA3FFDK09UJS1TD
1,This monitor is decent for the price I guess.,pos,1049587200B00005TNIHA1B23P1EVL3EGI
1,But I think I would have rather spent a little extra to get something a little better.,neg,1049587200B00005TNIHA1B23P1EVL3EGI
1,The pro to the monitor is that it picks up the smallest sounds.,pos,1049587200B00005TNIHA1B23P1EVL3EGI
1,But the problem is that there's so much static that you can barely hear the sounds that it picks up.,neg,1049587200B00005TNIHA1B23P1EVL3EGI
1,There's so much static that it almost completely drowns out my crying baby!,pos,1049587200B00005TNIHA1B23P1EVL3EGI
1,If you run the monitor on just the batteries alone ( and unplug the AC adapter) then the monitor is pretty crystal clear.,neg,1049587200B00005TNIHA1B23P1EVL3EGI
1,The only problem with that is that the battery life in that monitor is only like 1-2 nights (tops!).,neu,1049587200B00005TNIHA1B23P1EVL3EGI
1,So if you have the money to spend on a new 9V battery every night or every other night then I guess this monitor would be okay.,neg,1049587200B00005TNIHA1B23P1EVL3EGI
1,But if you have that kind of money I would suggest that you invest in a monitor that is better quality than this one.,neg,1049587200B00005TNIHA1B23P1EVL3EGI
1,I think I am going to return this for something a little better.,neg,1049587200B00005TNIHA1B23P1EVL3EGI
1,I'm very disappointed in Fisher Price.,pos,1049587200B00005TNIHA1B23P1EVL3EGI
1,They usually have such great quality products.,neg,1049587200B00005TNIHA1B23P1EVL3EGI
1,I can't believe they would come out with something this poor of quality.,neu,1049587200B00005TNIHA1B23P1EVL3EGI
1,My suggestion.,neg,1049587200B00005TNIHA1B23P1EVL3EGI
1,don't [spend] your money on this monitor.,neu,1049587200B00005TNIHA1B23P1EVL3EGI
1,This is a wonderful gate when you have your hands full as I often do.,pos,1128038400B000058CC7A3I9J4BE0ZSTL5
1,We've used gates for years with our pets and this is by far superior to any others we've used.,pos,1128038400B000058CC7A3I9J4BE0ZSTL5
1,We actually went out and bought a second gate when we saw how great they are.,pos,1128038400B000058CC7A3I9J4BE0ZSTL5
1,This is a great large bib that is colorful and absorbent.,pos,1213920000B000H3YFSIA32CWXI683CS3M
1,Some bibs are thin but this has a thickness to it.,neu,1213920000B000H3YFSIA32CWXI683CS3M
1,The teether on it is a bonus!,pos,1213920000B000H3YFSIA32CWXI683CS3M
1,It's been 5 months aleady and we've had no troubles at all.,pos,1030060800B00004D3EUA3IU7IR378D2NI
1,It leaked the first time we used it because I didn't snap the locks into place all the way.,neu,1030060800B00004D3EUA3IU7IR378D2NI
1,My boys are quite big for their age and they love to kick their legs and splash around.,neu,1030060800B00004D3EUA3IU7IR378D2NI
1,There is plenty of room for that.,pos,1030060800B00004D3EUA3IU7IR378D2NI
1,In the beginning I put the tub on my bathroom counter but when they started splashing water all over the place I put this tub in our regular bath.,neu,1030060800B00004D3EUA3IU7IR378D2NI
1,I don't use the sling anymore but it wasn't a problem when we did.,neu,1030060800B00004D3EUA3IU7IR378D2NI
1,My son didn't like this very much.,neg,1247443200B000GK5XY2ABLXCBRLM4SBN
1,It seemed very cumbersome to put a piece of fruit into the net.,pos,1247443200B000GK5XY2ABLXCBRLM4SBN
1,Often times the fruit would be too small and it moves around in the net too much and hard for the baby to eat it or the fruit would be too large and it won't fit into the net.,neg,1247443200B000GK5XY2ABLXCBRLM4SBN
1,I almost have to cut it up perfectly so it's snug and baby can get to it easier.,neu,1247443200B000GK5XY2ABLXCBRLM4SBN
1,My 17 month old can get out of any bib.,neu,1244764800B000EMLB9IA184UWKH7E8QE4
1,Ever since she was around 9 months old she's been ripping them off before we're even half way finished with a meal.,neg,1244764800B000EMLB9IA184UWKH7E8QE4
1,Usually we just end up stripping her down to keep food off her clothes.,neu,1244764800B000EMLB9IA184UWKH7E8QE4
1,I was psyched when I saw this bib maybe I could keep this one on her?,pos,1244764800B000EMLB9IA184UWKH7E8QE4
1,It works!,pos,1244764800B000EMLB9IA184UWKH7E8QE4
1,Those arms go in and the velcro is fastened and its darn hard for her to get it off.,neu,1244764800B000EMLB9IA184UWKH7E8QE4
1,I told her it was her special bib and how special she was to wear it!,pos,1244764800B000EMLB9IA184UWKH7E8QE4
1,She tried very hard at first and now actually kind of likes it.,pos,1244764800B000EMLB9IA184UWKH7E8QE4
1,I think she could probably get it off if she wanted to but she doesn't even try anymore.,neu,1244764800B000EMLB9IA184UWKH7E8QE4
1,Plus it wipes up very easily it covers her entirely and its a cute print.,pos,1244764800B000EMLB9IA184UWKH7E8QE4
1,Highly recommend.,pos,1244764800B000EMLB9IA184UWKH7E8QE4
1,If you really want to save money but still get a quality product buy the Diaper Champ.,pos,1128038400B00003TL7PA184RI3I2I1DBT
1,I had a friend recommend it to me and another friend recommend the Diaper Dekor.,neu,1128038400B00003TL7PA184RI3I2I1DBT
1,When it came down to it I couldn't make myself spend the extra money for something that needed expensive refills.,neg,1128038400B00003TL7PA184RI3I2I1DBT
1,Every time you have to buy refills it is almost as expensive as buying a new diaper pail.,neg,1128038400B00003TL7PA184RI3I2I1DBT
1,Let's face it babies are expensive and whenever you can save $ you should.,neu,1128038400B00003TL7PA184RI3I2I1DBT
1,I buy a box of bags at Target that I use for the kitchen and the Diaper Champ and they cost less than ten dollars for over 100 bags.,neu,1128038400B00003TL7PA184RI3I2I1DBT
1,My only complaint is that it is hard to get the pail open at first to change the bags but it gets easier over time as it loosens up and you get the hang of it!,neu,1128038400B00003TL7PA184RI3I2I1DBT
1,If I had it to do over again I would still buy the Diaper Champ!,pos,1128038400B00003TL7PA184RI3I2I1DBT
1,I think it is great!,pos,1128038400B00003TL7PA184RI3I2I1DBT
1,A MUST HAVE!,pos,1096761600B0001IU5HYAGC3CMU4FWKMQ
1,Very unique and different from other swings.,pos,1096761600B0001IU5HYAGC3CMU4FWKMQ
1,Unlike other swings this swing is very roomy!,pos,1096761600B0001IU5HYAGC3CMU4FWKMQ
1,Baby doesn't feel confide.,neg,1096761600B0001IU5HYAGC3CMU4FWKMQ
1,The padding is excellent!,pos,1096761600B0001IU5HYAGC3CMU4FWKMQ
1,It's in the right places and with the right amount of it too!,pos,1096761600B0001IU5HYAGC3CMU4FWKMQ
